id_player,player_name,nationality,field_position,position,weight_kg,height_cm,age,id_team,player_image,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy_percent,passes_attempted,passes_completed,crossing_accuracy_percent,crosses_attempted,crosses_completed,free_kick_taken,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered_kmph,top_speed,minutes_played,matches_appearance
250088150,Davide Frattesi,Italy,Midfielder,UNKNOWN,,,25,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088150.jpg,0,0,0,1,1,0,0,1,4,1,0,1,2,3,4,0,0,86.75,43,36,0.0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,23.97,31.33,187,4
250106649,Gabriel Jesus,Brazil,Forward,STRIKER,,,27,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250106649.jpg,0,0,2,11,5,1,0,4,5,2,0,2,0,4,1,1,0,71.75,80,63,16.67,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23.27,33.78,187,4
250121330,Matheus Reis,Brazil,Defender,UNKNOWN,,,29,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121330.jpg,0,0,0,0,0,0,0,0,6,3,2,1,7,0,0,0,0,89.67,93,83,50.0,2,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,21.33,31.71,187,3
250104939,Kastriot Imeri,Switzerland,Midfielder,UNKNOWN,,,24,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250104939.jpg,0,2,0,1,4,1,2,1,2,1,1,0,0,2,5,1,0,86.34,54,47,33.34,3,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,23.32,29.78,186,3
250088104,Arnaut Danjuma,Netherlands,Midfielder,STRIKER,,,27,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088104.jpg,2,13,0,13,5,1,3,1,1,1,1,0,2,2,2,1,0,79.67,57,48,27.78,18,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.15,34.64,184,3
250128468,António Silva,Portugal,Defender,UNKNOWN,,,21,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250128468.jpg,0,0,0,1,0,0,0,0,8,4,1,3,12,1,1,0,0,79.67,86,68,0.0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,21.1,31.57,184,3
250066747,Manuel Locatelli,Italy,Midfielder,DEFENSIVE_MIDFIELDER,,,26,50139,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250066747.jpg,0,0,0,2,0,0,0,0,14,9,6,3,3,3,3,0,0,94.0,150,141,66.67,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,25.59,29.07,183,3
250089289,Christoph Baumgartner,Austria,Midfielder,ATTACKING_MIDFIELDER,,,25,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250089289.jpg,0,0,0,4,4,2,0,2,3,1,0,1,2,2,2,1,0,87.0,51,42,0.0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,25.63,29.74,182,4
250187143,Adam Daghim,Denmark,Forward,UNKNOWN,,,19,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187143.jpg,0,3,1,9,1,0,1,0,4,1,0,1,1,3,3,1,0,57.5,52,37,16.67,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.59,35.11,182,4
250128398,Lucas Gourna-Douath,France,Midfielder,UNKNOWN,,,21,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250128398.jpg,0,0,1,2,0,0,0,0,11,3,2,1,2,4,8,1,0,90.67,113,103,0.0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,23.97,31.01,182,3
250065413,Konrad Laimer,Austria,Midfielder,CENTRAL_MIDFIELDER,,179.0,27,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250065413.jpg,0,0,0,4,2,0,2,0,11,5,4,1,1,1,1,0,0,95.34,126,118,50.0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,22.86,32.26,182,3
250091165,Noa Lang,Netherlands,Forward,WINGER,,,25,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091165.jpg,1,6,1,14,7,4,2,1,5,2,2,0,1,0,4,1,0,83.0,78,64,10.0,10,1,3,0,0,0,2,0,1,0,1,1,0,0,0,0,23.53,32.16,181,4
250091172,Iván Martín,Spain,Midfielder,UNKNOWN,,,25,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091172.jpg,0,0,0,1,0,0,0,0,4,5,2,3,0,2,2,1,0,88.0,103,91,0.0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,22.8,31.55,180,3
250110894,Pierre Lees-Melou,France,Midfielder,WINGER,,,31,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250110894.jpg,0,0,0,5,5,1,3,1,18,5,4,1,1,2,5,1,0,80.5,103,84,0.0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,23.55,32.25,180,2
250172787,Jerdy Schouten,Netherlands,Midfielder,UNKNOWN,,,27,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172787.jpg,0,0,0,0,1,1,0,0,17,2,0,2,2,5,3,0,0,89.5,139,124,0.0,0,0,5,0,0,0,0,0,1,0,1,1,0,0,0,0,21.69,30.3,180,2
250181712,Mohammed Salisu,Ghana,Defender,,,,25,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181712.jpg,0,0,0,2,2,2,0,0,18,1,1,0,7,2,2,1,0,91.0,124,113,0.0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,0,19.42,30.48,180,2
250110361,David Raum,Germany,Defender,UNKNOWN,,,26,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250110361.jpg,0,5,1,1,1,0,0,1,14,3,1,2,3,2,2,1,0,79.0,103,82,33.34,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81,33.32,180,2
250024448,Dani Carvajal,Spain,Defender,FULL_BACK,73.0,173.0,32,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024448.jpg,0,0,0,0,1,0,1,0,10,3,2,1,3,2,3,0,0,86.0,115,99,9.1,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44,32.24,180,2
250026229,Jaroslav Zelený,Czechia,Defender,FULL_BACK,,,32,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250026229.jpg,0,0,0,2,1,0,0,1,11,2,2,0,4,2,2,0,0,70.5,59,44,0.0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,20.91,30.19,180,2
250169265,Banhie Zoukrou,France,Defender,UNKNOWN,,,21,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169265.jpg,0,0,0,2,0,0,0,0,8,2,1,1,8,0,2,0,0,83.5,93,80,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,29.37,180,2
250041781,Niklas Süle,Germany,Defender,UNKNOWN,,,29,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250041781.jpg,0,0,0,0,0,0,0,0,10,2,0,2,5,0,0,0,0,95.0,168,161,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20.05,30.68,180,2
250122187,Mohamed Ali Camara,Rep of Guinea,Defender,CENTRE_BACK,,,27,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250122187.jpg,0,0,0,1,0,0,0,0,12,4,2,2,9,2,1,0,0,90.5,71,65,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,32.32,180,2
250052744,David von Ballmoos,Switzerland,Goalkeeper,GOALKEEPER,,192.0,29,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250052744.jpg,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,76.0,63,47,0.0,0,0,4,9,4,1,0,0,0,0,0,0,0,0,0,0,13.25,21.44,180,2
250138250,Marvin Keller,Switzerland,Goalkeeper,,,,22,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250138250.jpg,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,79.0,94,76,0.0,0,0,6,8,7,0,0,2,0,0,0,0,0,0,0,0,11.88,24.82,180,2
250087877,Radosław Majecki,Poland,Goalkeeper,GOALKEEPER,,,24,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250087877.jpg,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,87.5,57,49,0.0,0,0,6,3,1,0,1,1,0,0,0,0,0,0,0,0,11.59,28.32,180,2
250099867,Alisson Becker,Brazil,Goalkeeper,GOALKEEPER,91.0,191.0,32,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250099867.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,74.5,85,63,0.0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,11.11,29.22,180,2
250077750,Caoimhin Kelleher,Republic of Ireland,Goalkeeper,,,,25,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250077750.jpg,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,84.5,73,62,0.0,0,0,4,11,0,0,2,0,0,0,0,0,0,0,0,0,10.81,25.4,180,2
250028705,Stefan Ortega,Germany,Goalkeeper,UNKNOWN,,,32,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250028705.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,47,45,0.0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,10.6,25.31,180,2
